"Seconds";"Speed";"RPM";"Distance";"Calories";"Pulse";"Watts";"Load";"CurrentSessionLevel";"OriginalLevel";"SessionSkalaModifier";"CurrentSkalaModifier";"ANT_RR";"ANT_InstantHR";"CurrentPicture";"CurrentSessionNumber"
"900";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"900";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"900";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"900";"18.6";"50";"0.0";"0";"0";"62.0";"9";"9";"2";"7";"7";"0.833";"69";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"899";"14.5";"39";"0.0";"0";"0";"40.3";"9";"9";"2";"7";"7";"0.829";"70";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"898";"14.5";"39";"0.0";"0";"0";"40.3";"9";"9";"2";"7";"7";"0.816";"71";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"897";"13.8";"37";"0.0";"0";"0";"36.9";"9";"9";"2";"7";"7";"0.797";"72";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"896";"17.1";"46";"0.0";"0";"0";"54.0";"9";"9";"2";"7";"7";"0.815";"72";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"895";"17.1";"46";"0.0";"0";"0";"54.0";"9";"9";"2";"7";"7";"0.819";"73";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"894";"17.1";"46";"0.0";"0";"0";"54.0";"9";"9";"2";"7";"7";"0.826";"73";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"893";"16.4";"44";"0.0";"0";"0";"50.0";"9";"9";"2";"7";"7";"0.833";"73";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"892";"15.6";"42";"0.0";"0";"0";"46.0";"9";"9";"2";"7";"7";"0.82";"73";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"891";"15.6";"42";"0.0";"0";"0";"46.0";"9";"9";"2";"7";"7";"0.801";"74";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"890";"15.6";"42";"0.0";"0";"0";"46.0";"9";"9";"2";"7";"7";"0.81";"74";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"889";"16.0";"43";"0.0";"0";"0";"48.0";"9";"9";"2";"7";"7";"0.795";"74";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"888";"16.0";"43";"0.0";"0";"0";"48.0";"9";"9";"2";"7";"7";"0.807";"75";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"887";"16.0";"43";"0.0";"0";"0";"48.0";"9";"9";"2";"7";"7";"0.805";"75";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"886";"16.0";"43";"0.0";"0";"0";"48.0";"9";"9";"2";"7";"7";"0.804";"75";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"885";"16.4";"44";"0.0";"0";"0";"50.0";"9";"9";"2";"7";"7";"0.783";"75";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"884";"16.4";"44";"0.0";"0";"0";"50.0";"9";"9";"2";"7";"7";"0.781";"76";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"883";"16.0";"43";"0.0";"1";"0";"48.0";"9";"9";"2";"7";"7";"0.771";"76";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"882";"16.0";"43";"0.0";"1";"0";"48.0";"9";"9";"2";"7";"7";"0.767";"77";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
"881";"16.0";"43";"0.0";"1";"0";"48.0";"9";"9";"2";"7";"7";"0.743";"78";"/storage/emulated/0/Documents/images/TE5/0204a.jpg";"13"
